Alloys,Phase,Tg_K,Tx_K,Tl_K,Rc_mm/s,Dmax_mm
Co14.3Cr14.3Fe14.3Ni14.3Cu14.3Al14.3Mo14.3,CMA,843.0,987.0,1405.0,NAN,NAN
Co13.7Fe13.7Mn13.7Ti13.7V13.7Zr31.5,CMA,736.0,800.0,1305.0,NAN,NAN
Co26.3Cu13.2Fe26.3Ni26.3Ta7.9,CMA,884.0,1086.0,1473.0,NAN,NAN
Co13.2Fe13.2Mn13.2Ti13.2V13.2Zr34.2,CMA,711.0,715.0,1207.0,NAN,NAN
Co20Cu20Fe20Ni20Sn20,CMA,801.0,925.0,1385.0,NAN,NAN
Co12.5Fe12.5Mn12.5Ti12.5V12.5Zr37.5,CMA,678.0,709.0,1149.0,NAN,NAN
Co14.3Ce14.3Fe14.3Ni14.3Cu14.3Al14.3Mn14.3,CMA,685.0,732.0,1123.0,NAN,NAN
Cr33.3Fe33.3Ni33.3,CMA,882.0,1080.0,1468.0,NAN,NAN
Cr20Cu20Fe20Mn20Ni20,CMA,822.0,928.0,1355.0,NAN,NAN
Cr25.0Fe25.0Ni25.0Cu25.0,CMA,853.0,1022.0,1439.0,NAN,NAN
Cr20.0Cu20.0Fe20.0Ni40.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Cr25.0Fe37.5Mn25.0Ni12.5,CMA,843.0,948.0,1349.0,NAN,NAN
Cr23.8Fe23.8Ni23.8Cu23.8Co5.0,CMA,872.0,1045.0,1439.0,NAN,NAN
Cr22.5Fe22.5Ni22.5Cu22.5Co10.0,CMA,872.0,1046.0,1439.0,NAN,NAN
Cr20.0Fe20.0Ni20.0Cu20.0Co20.0,CMA,872.0,1043.0,1436.0,NAN,NAN
Cr21.3Fe21.3Ni21.3Cu21.3Co15.0,CMA,872.0,1046.0,1439.0,NAN,NAN
Cr20.0Fe20.0Mn20.0Ni20.0Ti20.0,CMA,827.0,875.0,1270.0,NAN,NAN
Cr12.5Cu25.0Fe25.0Mn12.5Ni25.0,CMA,828.0,973.0,1410.0,NAN,NAN
Cr22.2Cu11.1Fe22.2Mn22.2Ni22.2,CMA,835.0,942.0,1353.0,NAN,NAN
Cr25.0Cu25.0Fe12.5Mn25.0Ni12.5,CMA,811.0,902.0,1335.0,NAN,NAN
Cr25.0Cu25.0Fe12.5Mn12.5Ni25.0,CMA,824.0,926.0,1348.0,NAN,NAN
Cr16.7Fe16.7Ni16.7Cu16.7Co33.3,CMA,872.0,1044.0,1436.0,NAN,NAN
Cr20.0Cu20.0Fe20.0Mn20.0Ni20.0,CMA,822.0,928.0,1355.0,NAN,NAN
Cr22.2Cu22.2Fe22.2Mn11.1Ni22.2,CMA,831.0,975.0,1408.0,NAN,NAN
Cr21.3Fe21.3Ni21.3Al21.3Co15.0,CMA,796.0,834.0,1257.0,NAN,NAN
Cr22.5Fe22.5Ni22.5Al22.5Co10.0,CMA,796.0,832.0,1255.0,NAN,NAN
Cr23.8Fe23.8Ni23.8Al23.8Co5.0,CMA,796.0,836.0,1259.0,NAN,NAN
Cr20.0Fe20.0Ni20.0Al20.0Co20.0,CMA,794.0,832.0,1258.0,NAN,NAN
Cr20Cu20Fe20Mo20Ni20,CMA,941.0,1156.0,1474.0,NAN,NAN
Cr25Nb25Ti25V25,CMA,852.0,932.0,1313.0,NAN,NAN
Cr20Cu20Nb20Mo20V20,CMA,936.0,1117.0,1433.0,NAN,NAN
Cr20Nb20Ni20Zr20V20,CMA,873.0,964.0,1325.0,NAN,NAN
Cr20.0Mo10.0Nb20.0Ta10.0Ti20.0Zr20.0,CMA,875.0,1013.0,1389.0,NAN,NAN
Cr20Nb20Nb20Zr20Ti20,CMA,808.0,837.0,1242.0,NAN,NAN
Cr20.0Mo20.0V20.0Nb20.0Fe20.0,CMA,942.0,1125.0,1433.0,NAN,NAN
Cr20.0Nb20.0Ti20.0V20.0Zr20.0,CMA,853.0,959.0,1349.0,NAN,NAN
Cr20.8Mo20.8V20.8Nb20.8Fe16.7,CMA,942.0,1125.0,1434.0,NAN,NAN
Cr20Mo10Ti20Zr10Ti20Zr20,CMA,795.0,900.0,1357.0,NAN,NAN
Cr21.7Mo21.7V21.7Nb21.7Fe13.0,CMA,942.0,1125.0,1434.0,NAN,NAN
Cr22.7Mo22.7V22.7Nb22.7Fe9.1,CMA,941.0,1124.0,1434.0,NAN,NAN
Cr25.0Nb25.0Ti25.0Zr25.0,CMA,854.0,960.0,1350.0,NAN,NAN
Cr23.8Mo23.8V23.8Nb23.8Fe4.8,CMA,938.0,1123.0,1437.0,NAN,NAN
Cr25.0Mo25.0V25.0Nb25.0,CMA,935.0,1119.0,1437.0,NAN,NAN
Cr25.0Mo25.0Nb25.0Ti25.0,CMA,937.0,1128.0,1445.0,NAN,NAN
Cr25Mn25Ta25Ti25,CMA,869.0,975.0,1347.0,NAN,NAN
Cr20Hf20Ti20Ti20Ta20,CMA,881.0,997.0,1358.0,NAN,NAN
Cr20Hf20Nb20Ti20Ta20,CMA,889.0,1033.0,1394.0,NAN,NAN
Cr25.0Nb25.0Ta25.0Ti25.0,CMA,891.0,1079.0,1453.0,NAN,NAN
Cr25.0Mo25.0Ta25.0Ti25.0,CMA,943.0,1153.0,1468.0,NAN,NAN
Cr16.7Mo16.7Nb16.7Ta16.7V16.7W16.7,CMA,945.0,1173.0,1490.0,NAN,NAN
Cu60Zr33Ti7,MMG,740.0,768.0,1191.0,NAN,NAN
Cu57Zr36Ag7,MMG,712.0,755.0,1156.0,NAN,NAN
Cu45Zr48Al7,MMG,708.0,766.0,1186.0,NAN,5
Cu46Zr47Al7,MMG,705.0,781.0,1163.0,NAN,3
Cu50Zr43Al7 ,MMG,713.0,781.0,1205.0,NAN,10
Cu55Zr40Ga5,MMG,736.0,779.0,1193.0,NAN,2
Cu49Hf42Al9,MMG,778.0,863.0,1249.0,NAN,10
Cu46Zr46Ag8,MMG,677.0,745.0,1167.0,NAN,4
Cu60Hf25Ti15,MMG,730.0,790.0,1177.0,NAN,4
Cu60Zr30Ti10,MMG,717.0,767.0,1158.0,NAN,4
Cu60Hf20Ti20,MMG,740.0,767.0,1211.0,NAN,4
Cu48Zr48Ag4,MMG,681.0,743.0,1199.0,NAN,NAN
Cu54Zr36Ag10,MMG,719.0,759.0,1146.0,NAN,NAN
Cu45Zr45Ag10,MMG,683.0,756.0,1159.0,NAN,NAN
Cu44Zr44Ag12,MMG,684.0,764.0,1156.0,NAN,NAN
Cu42Zr42Ag16,MMG,685.0,757.0,1232.0,NAN,NAN
Cu46Zr45Al7Y2,MMG,693.0,770.0,1143.0,NAN,8
Cu46Hf42Al7Y5,MMG,624.0,740.0,1300.0,NAN,NAN
Cu45Ca30Mg25,MMG,387.0,430.0,798.0,NAN,2.5
Cu40Ca35Mg25,MMG,386.0,429.0,748.0,NAN,3.5
Cu55Zr42.5Ga2.5,MMG,709.0,762.0,1199.0,NAN,NAN
Cu45Zr45Al5Nb5,MMG,710.0,752.0,1182.0,NAN,NAN
Cu42Zr42Al8Ag8,MMG,710.0,762.0,1234.0,NAN,NAN
Cu45Hf45Al5Pt5,MMG,775.0,869.0,1292.0,NAN,NAN
Cu50Zr40Al5Pd5,MMG,727.0,814.0,1192.0,NAN,NAN
Cu45Hf45Al5Pd5,MMG,768.0,869.0,1259.0,NAN,NAN
Cu50Zr40Al5Au5,MMG,735.0,817.0,1205.0,NAN,NAN
Cu48Hf25Ti20Al7,MMG,726.0,756.0,1248.0,NAN,NAN
Cu55Zr30Ti10Ni5,MMG,717.0,750.0,1204.0,NAN,NAN
Cu54Hf25Ti20Al1,MMG,730.0,761.0,1168.0,NAN,NAN
Cu53Hf25Ti20Al2,MMG,730.0,764.0,1178.0,NAN,NAN
Cu51Hf25Ti20Al4,MMG,730.0,762.0,1203.0,NAN,NAN
Cu45Hf45Al5Au5,MMG,777.0,875.0,1295.0,NAN,NAN
Cu45Hf45Al5Ag5,MMG,757.0,867.0,1241.0,NAN,NAN
Cu40Zr44Ag8Al8,MMG,705.0,784.0,1174.0,NAN,NAN
Cu43Zr43Ag7Ti7,MMG,670.0,714.0,1118.0,NAN,5
Cu50Zr42.5Ti7.5,MMG,677.0,717.0,1152.0,NAN,5
Cu46Zr37Y10Al7,MMG,665.0,743.0,1118.0,NAN,4
Cu47Zr43Al7Be3,MMG,715.0,798.0,1139.0,NAN,6
Cu54Zr33Ag6Ti7,MMG,709.0,738.0,1135.0,NAN,6
Cu43Zr43Ag7Al7,MMG,710.0,797.0,1125.0,NAN,8
Cu44Zr44Ag6Al6,MMG,698.0,790.0,1144.0,NAN,10
Cu45Zr45Ag5Al5,MMG,697.0,783.0,1147.0,NAN,9
Cu45Zr45Ag3Al7,MMG,708.0,786.0,1177.0,NAN,8
Cu45Zr45Ag7Al3,MMG,688.0,768.0,1151.0,NAN,7
Cu43Zr43Ag7In7,MMG,704.0,748.0,1135.0,NAN,5
Cu43Zr43Al7Be7,MMG,710.0,813.0,1126.0,NAN,12
Cu52.5Hf40Al7.5,MMG,779.0,833.0,1250.0,NAN,3
Cu42Zr42Ag8Al8,MMG,710.0,762.0,1234.0,NAN,12
Cu60Hf17.5Ti22.5,MMG,732.0,755.0,1229.0,NAN,3
Cu47Ti34Zr11Ni8,MMG,710.0,738.0,1188.0,NAN,4.5
Cu49Zr36Ag10Ti5,MMG,691.0,737.0,1130.0,NAN,8
Cu55Zr30Ag5Ti10,MMG,704.0,733.0,1149.0,NAN,3
Cu43Zr40Ag7Ti10,MMG,656.0,707.0,1095.0,NAN,7
Cu47Zr11Ni8Ti34,MMG,671.0,717.0,1160.0,NAN,3
Cu54Zr27Ti9Be10,MMG,715.0,756.0,1121.0,NAN,5
Cu36Zr48Ag8Al8,MMG,683.0,791.0,1142.0,NAN,25
Cu38Zr46Ag8Al8,MMG,692.0,795.0,1145.0,NAN,20
Cu55Ni5Zr30Ti10,MMG,717.0,750.0,1204.0,NAN,2
Cu52.5Zr42.5Ga5,MMG,733.0,777.0,1187.0,NAN,2
Cu52.5Zr40Ga7.5,MMG,744.0,777.0,1218.0,NAN,1.5
Cu47Zr47Ti3Al3,MMG,688.0,754.0,1199.0,NAN,NAN
Cu46Zr46Ti4Al4,MMG,691.0,741.0,1189.0,NAN,NAN
Cu50Zr40Ti5Al5,MMG,703.0,748.0,1161.0,NAN,NAN
Cu45Zr45Ti5Al5,MMG,693.0,732.0,1174.0,NAN,NAN
Cu44Zr44Ti6Al6,MMG,698.0,737.0,1173.0,NAN,NAN
Cu48Zr48Ti2Al2,MMG,686.0,744.0,1215.0,NAN,NAN
Cu36Zr48Al8Ag8,MMG,670.0,771.0,1146.0,NAN,NAN
Cu46Hf12Al7Y35,MMG,590.0,623.0,1389.0,NAN,NAN
Cu46Hf17Al7Y30,MMG,595.0,640.0,1374.0,NAN,NAN
Cu46Hf22Al7Y25,MMG,600.0,658.0,1360.0,NAN,NAN
Cu46Hf27Al7Y20,MMG,606.0,677.0,1345.0,NAN,NAN
Cu46Hf32Al7Y15,MMG,611.0,697.0,1330.0,NAN,NAN
Cu46Hf37Al7Y10,MMG,618.0,718.0,1315.0,NAN,NAN
Cu55Zr42.5Ga2.5,MMG,709.0,762.0,1199.0,NAN,1
Cu57.5Zr37.5Ga5,MMG,745.0,785.0,1241.0,NAN,1
Cu49Zr45Al5Nb1,MMG,692.0,757.0,1234.0,NAN,NAN
Cu47Zr45Al5Nb3,MMG,699.0,753.0,1176.0,NAN,NAN
Cu44Zr40Al8Ag8,MMG,702.0,772.0,1166.0,NAN,NAN
Cu55Zr30Ti10Ag5,MMG,704.0,733.0,1148.0,NAN,NAN
Cu45Zr40Hf5Ag10,MMG,695.0,752.0,1198.0,NAN,NAN
Cu40Hf45Al5Ag10,MMG,624.0,758.0,1278.0,NAN,NAN
Cu47Ni13Zr30Ti10,MMG,727.0,754.0,1251.0,NAN,1
Cu45Zr30Hf15Ag10,MMG,688.0,766.0,1225.0,NAN,NAN
Cu45Zr25Hf20Ag10,MMG,694.0,773.0,1239.0,NAN,NAN
Cu50Zr30Ti10Ag10,MMG,694.0,726.0,1130.0,NAN,NAN
Cu30Zr30Ti30Ag10,MMG,666.0,700.0,1166.0,NAN,NAN
Cu45Zr30Ti15Ag10,MMG,687.0,717.0,1121.0,NAN,NAN
Cu40Zr30Ti20Ag10,MMG,677.0,708.0,1125.0,NAN,NAN
Cu35Zr30Ti25Ag10,MMG,677.0,706.0,1138.0,NAN,NAN
Cu35Zr30Ag25Ti10,MMG,677.0,706.0,1138.0,NAN,NAN
Cu45Zr20Hf25Ag10,MMG,700.0,780.0,1281.0,NAN,NAN
Cu45Zr35Hf10Ag10,MMG,701.0,759.0,1208.0,NAN,NAN
Cu46Hf39.5Al7Y7.5,MMG,621.0,729.0,1307.0,NAN,NAN
Cu46Hf44.5Al7Y2.5,MMG,627.0,752.0,1293.0,NAN,NAN
Cu35Ag25Zr30Ti10,MMG,677.0,706.0,1138.0,NAN,2
Cu50Mg22.7Ca27.3,MMG,392.0,410.0,864.0,NAN,1.5
Cu40Zr40Ag10Al10,MMG,710.0,765.0,1273.0,NAN,3
Cu45Zr35Ag10Hf10,MMG,690.0,769.0,1171.0,NAN,4
Cu40Zr30Ag20Ti10,MMG,677.0,708.0,1125.0,NAN,3
Cu45Zr30Ag15Ti10,MMG,687.0,717.0,1121.0,NAN,5
Cu50Zr30Ag10Ti10,MMG,694.0,726.0,1130.0,NAN,4
Cu45Zr5Hf40Ag10,MMG,730.0,815.0,1342.0,NAN,NAN
Cu45Zr10Hf35Ag10,MMG,724.0,808.0,1327.0,NAN,NAN
Cu45Zr15Hf30Ag10,MMG,718.0,801.0,1298.0,NAN,NAN
Cu25Ni25Co25Cr25,CMA,872.0,1043.0,1436.0,NAN,NAN
Cu50Ca27.3Mg22.7,MMG,392.0,410.0,864.0,NAN,1.5
Cu50Ca31.8Mg18.2,MMG,392.0,421.0,828.0,NAN,2
Cu45Zr15Ag10Hf30,MMG,712.0,799.0,1275.0,NAN,2
Cu45Zr25Ag10Hf20,MMG,698.0,783.0,1218.0,NAN,3
Cu49Zr42.14Al6.86Si2,MMG,740.0,800.0,1256.0,NAN,3
Cu49.5Zr42.57Al6.93Si1,MMG,720.0,797.0,1226.0,NAN,12
Cu47Ti33Zr11Ni8Si1,MMG,720.0,757.0,1157.0,NAN,4
Cu50Zr42.5Ti2.5Al5,MMG,700.0,764.0,1179.0,NAN,NAN
Cu43Zr41.4Y4.6Al11,MMG,673.0,735.0,1202.0,NAN,NAN
Cu42Zr44.4Y3.6Al10,MMG,680.0,725.0,1120.0,NAN,NAN
Cu42.5Hf45Al5Ag7.5,MMG,628.0,761.0,1081.0,NAN,NAN
Cu47.5Hf45Al5Ag2.5,MMG,635.0,767.0,1086.0,NAN,NAN
Cu58.8Zr29.4Ti9.8Y2,MMG,707.0,757.0,1122.0,NAN,5
Cu45.5Ca36.4Mg18.1,MMG,397.0,426.0,735.0,NAN,3
Cu45.5Mg36.4Ca18.1,MMG,391.0,420.0,851.0,NAN,2
Cu46.4Zr35Ag11.6Ti7,MMG,689.0,732.0,1119.0,NAN,6
Cu45.5Ca31.8Mg22.7,MMG,388.0,427.0,793.0,NAN,3
Cu40.9Ca36.4Mg22.7,MMG,396.0,432.0,719.0,NAN,5
Cu40.9Mg36.4Ca22.7,MMG,394.0,414.0,821.0,NAN,1.5
Cu54.5Mg27.3Ca18.2,MMG,402.0,419.0,921.0,NAN,0.5
Cu45.5Mg31.8Ca22.7,MMG,389.0,410.0,843.0,NAN,1.25
Cu36.4Ca31.8Mg31.8,MMG,388.0,400.0,742.0,NAN,8
Cu54.5Ca27.3Mg18.2,MMG,401.0,423.0,884.0,NAN,1
Cu36.4Mg36.4Ca27.2,MMG,382.0,400.0,750.0,NAN,5
Cu40.9Mg31.8Ca27.3,MMG,392.0,414.0,785.0,NAN,3
Cu40.9Ca31.8Mg27.3,MMG,391.0,430.0,745.0,NAN,4
Cu45.5Ca27.2Mg27.3,MMG,395.0,410.0,831.0,NAN,1.5
Cu47Ti33Nb11Ni8Si1,MMG,710.0,732.0,1265.0,NAN,0.5
Cu36.4Mg31.8Ca31.8,MMG,388.0,400.0,742.0,NAN,NAN
Cu54.5Mg18.2Ca27.3,MMG,401.0,423.0,884.0,NAN,1
Cu33.3Mg33.3Ca33.3,MMG,391.0,406.0,731.0,NAN,NAN
Cu45.5Mg27.3Ca27.2,MMG,395.0,410.0,831.0,NAN,1.5
Cu45Zr42.55Y3.45Al9,MMG,706.0,746.0,1130.0,NAN,NAN
Cu45Zr41.5Hf3.5Ag10,MMG,706.0,787.0,1297.0,NAN,NAN
Cu50Zr22.5Hf22.5Al5,MMG,738.0,817.0,1201.0,NAN,NAN
Cu45Zr43.5Hf1.5Ag10,MMG,712.0,794.0,1301.0,NAN,NAN
Cu45Zr30Ag10Ti10Ni5,MMG,710.0,738.0,1160.0,NAN,NAN
Cu46.5Zr45.5Al7.5Sn1,MMG,718.0,777.0,1167.0,NAN,NAN
Cu38Au35Si17Ag5Pd5,MMG,440.0,472.0,774.0,NAN,2
Cu55.2Hf23Ti13.8Nb8,MMG,745.0,783.0,1198.0,NAN,2.5
Cu49Zr42.14Al6.86Si2,MMG,740.0,800.0,1256.0,NAN,3
Cu57.6Hf24Ti14.4Nb4,MMG,747.0,789.0,1188.0,NAN,4
Cu45Zr30Ni5Ag10Ti10,MMG,710.0,738.0,1160.0,NAN,5
Cu59.4Zr29.7Ti9.9Sn1,MMG,730.0,776.0,1155.0,NAN,5
Cu47Ti33Ni8Nb6Zr5Si1,MMG,712.0,739.0,1187.0,NAN,NAN
Cu47Ti33Zr5Nb6Ni8Si1,MMG,712.0,739.0,1187.0,NAN,2
Cu47Ti33Zr7Nb4Ni8Si1,MMG,713.0,736.0,1172.0,NAN,5
Cu47Ti33Zr9Nb2Ni8Si1,MMG,728.0,762.0,1159.0,NAN,5
Cu47Ti33Zr3Nb8Ni8Si1,MMG,708.0,731.0,1228.0,NAN,1
Cu26.95Zr63.7Ti2Al7.35,MMG,638.0,689.0,1213.0,NAN,NAN
Cu56.4Hf23.5Ti14.1Nb6,MMG,745.0,785.0,1190.0,NAN,4
Cu58.8Hf24.5Ti14.7Nb2,MMG,746.0,792.0,1184.0,NAN,4
Cu47Ti33Zr11Si1Ni6Sn2,MMG,720.0,765.0,1140.0,NAN,6
Cu49.25Zr42.355Al6.895Si1.5,MMG,737.0,798.0,1243.0,NAN,4
Cu49.75Zr42.785Al6.965Si0.5,MMG,719.0,791.0,1214.0,NAN,10
Cu49.5Zr42.57Al6.93Si1,MMG,720.0,797.0,1226.0,NAN,12
Cu49.5Zr42.08Ti7.425Si1,MMG,683.0,731.0,1141.0,NAN,6
Cu49.5Zr42.08Ti7.425Sn1,MMG,683.0,730.0,1140.0,NAN,6
Cu20Ni20Fe20Fe20Mn20,CMA,819.0,921.0,1349.0,NAN,NAN
Cu20Ni20Co20Fe20Mn20,CMA,828.0,972.0,1408.0,NAN,NAN
Cu26.675Zr63.05Ti3Al7.275,MMG,638.0,721.0,1227.0,NAN,NAN
Cu26.125Zr61.75Ti5Al7.125,MMG,636.0,698.0,1219.0,NAN,NAN
Cu25.575Zr60.45Ti7Al6.975,MMG,636.0,681.0,1200.0,NAN,NAN
Cu49.25Zr42.36Al6.895Si1.5,MMG,737.0,798.0,1243.0,NAN,4
Cu49.75Zr42.79Al6.965Si0.5,MMG,719.0,791.0,1214.0,NAN,10
Cu42.5Ti41.5Ni7.5Hf5Zr2.5Si1,MMG,685.0,720.0,1206.0,NAN,NAN
Cu49.4Zr41.99Ti7.41Sn0.6Si0.6,MMG,682.0,734.0,1141.0,NAN,7
Cu10Ni20Co20Cr20Al10Cr20,CMA,842.0,934.0,1331.0,NAN,NAN
Cu20.0Fe20.0Hf20.0Ti20.0Zr20.0,CMA,722.0,734.0,1220.0,NAN,NAN
Cu25.0Al10.0Ni25.0Fe20.0Co20.0,CMA,800.0,889.0,1334.0,NAN,NAN
Cu18.18Ni36.36Co18.18Fe18.18Al9.09,CMA,813.0,936.0,1381.0,NAN,NAN
Cu19.23Ni38.46Fe19.23Cr19.23Al3.85,CMA,840.0,1007.0,1438.0,NAN,NAN
Cu14.29Ni28.57Fe14.29Cr28.57Cr14.29,CMA,889.0,1087.0,1468.0,NAN,NAN
Cu7.14Ni14.29Co14.29Cr14.29Al7.14Fe42.86,CMA,840.0,1006.0,1438.0,NAN,NAN
Cu6.67Ni13.33Ni13.33Cu13.33Al6.67Fe46.67,CMA,825.0,965.0,1404.0,NAN,NAN
Cu8.33Ni16.67Co16.67Cr16.67Al8.33Fe33.33,CMA,829.0,987.0,1429.0,NAN,NAN
Cu16.67Fe16.67Cu16.67Ti16.67Mn16.67Zr16.67,CMA,775.0,808.0,1251.0,NAN,NAN
Cu16.95Ni33.90Fe16.95Cr16.95Al15.25,CMA,802.0,844.0,1263.0,NAN,NAN
Cu8.3Al16.7Co16.7Cr16.7Fe16.7Ni16.7Ti8.3,CMA,791.0,819.0,1243.0,NAN,NAN
Cu16.13Ni32.26Fe16.13Cr16.13Al19.35,CMA,782.0,811.0,1245.0,NAN,NAN
Cu17.54Ni17.54Fe17.54Fe17.54Mo17.54Al8.77V3.51,CMA,909.0,1079.0,1426.0,NAN,NAN
Cu14.29Al14.29Fe14.29Co14.29Cr14.29Fe14.29Si14.29,CMA,797.0,849.0,1279.0,NAN,NAN
Cu46Zr39Hf8Al7,MMG,702.0,771.0,1177.0,NAN,15
Cu46Zr35Hf12Al7,MMG,710.0,781.0,1186.0,NAN,22
Cu46Zr32Hf15Al7,MMG,713.0,784.0,1200.0,NAN,24
Cu46Zr27Hf20Al7,MMG,720.0,797.0,1203.0,NAN,15
Cu46Zr33.5Hf13.5Al7,MMG,710.0,784.0,1200.0,NAN,28.5
Cu33.3Ni33.3Al33.3,CMA,288.0,463.0,747.0,NAN,NAN
Cu15.38Ni30.77Al15.38Cr15.38Al23.08,CMA,784.0,867.0,1327.0,NAN,NAN
Dy55Al25Co20,MMG,635.0,708.0,1031.0,NAN,3
Dy40Y16Al24Co20,MMG,633.0,682.0,1031.0,NAN,NAN
Dy46Y10Al24Co20,MMG,631.0,675.0,1025.0,NAN,5
Dy46Y10Al24Co18Fe2,MMG,627.0,677.0,1023.0,NAN,3
Dy46Y10Al23Co20Nb1,MMG,622.0,671.0,1044.0,NAN,NAN
Er36Al24Co20Y20,MMG,661.0,719.0,1071.0,NAN,12
Er55Al25Co20,MMG,663.0,722.0,1079.0,NAN,5
Fe83B17,MMG,698.0,732.0,1487.0,45000,0.326
Fe72B22Y6,MMG,898.4,948.6,1412.6,NAN,2
Fe72Y6B22,MMG,856.0,942.0,1419.0,NAN,2
Fe83B15Si2,MMG,694.0,726.0,1480.0,51000,0.312
Fe71Nb6B23,MMG,831.0,870.0,1509.0,NAN,1.5
Fe84Si1B15,MMG,691.0,728.0,1505.0,68000,0.282
Fe68Zr10B22,MMG,843.0,913.0,1533.0,NAN,NAN
Fe71B23Nb6,MMG,819.0,865.0,1494.0,NAN,NAN
Fe66B22W6Y6,MMG,897.0,981.0,1497.0,NAN,NAN
Fe70B22Y6Ni2,MMG,880.0,925.0,1509.0,NAN,NAN
Fe69B22Y6Ni3,MMG,874.0,910.0,1503.0,NAN,NAN
Fe68B22Y6W4,MMG,874.0,971.0,1504.0,NAN,NAN
Fe67B22Y6Ni5,MMG,866.0,891.0,1469.0,NAN,NAN
Fe70B22Y6W2,MMG,867.0,970.0,1521.0,NAN,NAN
Fe69B22Y6W3,MMG,868.0,973.0,1505.0,NAN,NAN
Fe68B22Y6Ni4,MMG,872.0,907.0,1470.0,NAN,NAN
Fe71B22Y6W1,MMG,845.0,956.0,1423.0,NAN,NAN
Fe67B22Y6W5,MMG,882.0,970.0,1497.0,NAN,NAN
Fe71B22Y6Ni1,MMG,883.0,926.0,1507.0,NAN,NAN
Fe64B22Co8Y6,MMG,884.0,927.0,1505.0,NAN,NAN
Fe66B22Co6Y6,MMG,887.0,925.0,1509.0,NAN,NAN
Y4Fe72B22Al2,MMG,892.0,964.0,1518.0,NAN,NAN
Fe68B22Y6Co4,MMG,896.0,941.0,1414.0,NAN,NAN
Fe70B22Y6Co2,MMG,898.0,944.0,1420.0,NAN,NAN
Fe70B22Y6Mo2,MMG,907.0,969.0,1508.0,NAN,NAN
Fe69B22Y6Mo3,MMG,908.0,958.0,1488.0,NAN,NAN
Fe68B22Y6Mo4,MMG,915.0,944.0,1488.0,NAN,NAN
Fe67B22Y6Mo5,MMG,920.0,941.0,1483.0,NAN,NAN
Fe58B22Co14Y6,MMG,880.0,925.0,1485.0,NAN,NAN
Fe71B22Y6Mo1,MMG,902.0,960.0,1517.0,NAN,NAN
Fe62B22Co10Y6,MMG,885.0,932.0,1503.0,NAN,NAN
Fe60B22Co12Y6,MMG,881.0,924.0,1498.0,NAN,NAN
Fe74B17Nb6Y3,MMG,831.0,879.0,1391.0,NAN,NAN
Fe73B20Nb4Hf3,MMG,836.0,899.0,1448.0,NAN,NAN
Fe76Si9B10P5,MMG,780.0,832.0,1258.0,NAN,2.5
Fe72B22Y4Ti2,MMG,841.5,914.3,1419.7,NAN,3
Fe83B12Si2C3,MMG,691.0,720.0,1472.0,58000,0.298
Fe83B12Si2P3,MMG,683.0,730.0,1446.0,18000,0.453
Fe76B10Si9P5,MMG,783.0,832.0,1444.0,490,1.633
Fe68W4Y6B22,MMG,874.0,971.0,1504.0,NAN,4
Fe69W3Y6B22,MMG,868.0,973.0,1505.0,NAN,4
Fe66W6Y6B22,MMG,897.0,981.0,1497.0,NAN,2
Fe67W5Y6B22,MMG,882.0,970.0,1497.0,NAN,3
Fe70W2Y6B22,MMG,867.0,970.0,1521.0,NAN,3
Fe71W1Y6B22,MMG,845.0,956.0,1423.0,NAN,3
Fe72B22Y4Ta2,MMG,847.6,931.8,1421.1,NAN,4
Fe72B22Y4Hf2,MMG,868.2,938.6,1411.9,NAN,3
Fe71.2B24Y4.8,MMG,856.0,917.0,1405.0,NAN,1
Fe72B22Y4Nb2,MMG,837.8,921.3,1410.7,NAN,4
Fe67Ni5Y6B22,MMG,866.0,891.0,1469.0,NAN,1
Fe68Ni4Y6B22,MMG,872.0,907.0,1470.0,NAN,1.5
Fe69Ni3Y6B22,MMG,874.0,910.0,1503.0,NAN,1.5
Fe70Ni2Y6B22,MMG,880.0,925.0,1509.0,NAN,2
Fe71Ni1Y6B22,MMG,883.0,926.0,1507.0,NAN,2
Fe66Co6Y6B22,MMG,887.0,925.0,1509.0,NAN,2
Fe68Co4Y6B22,MMG,896.0,941.0,1414.0,NAN,2
Fe70Co2Y6B22,MMG,898.0,944.0,1420.0,NAN,2
Fe56Co16Y6B22,MMG,882.0,927.0,1494.0,NAN,2.5
Fe67Mo5Y6B22,MMG,920.0,941.0,1483.0,NAN,3.5
Fe68Mo4Y6B22,MMG,915.0,944.0,1488.0,NAN,6.5
Fe69Mo3Y6B22,MMG,908.0,958.0,1488.0,NAN,6
Fe70Mo2Y6B22,MMG,907.0,969.0,1508.0,NAN,3.5
Fe74Nb6Y3B17,MMG,831.0,879.0,1391.0,NAN,2
Fe64Co8Y6B22,MMG,884.0,927.0,1505.0,NAN,2.5
Fe58Co14Y6B22,MMG,880.0,925.0,1485.0,NAN,2.5
Fe60Co12Y6B22,MMG,881.0,924.0,1498.0,NAN,2.5
Fe62Co10Y6B22,MMG,885.0,932.0,1503.0,NAN,2.5
Fe72Nb4B20Si4,MMG,842.0,880.0,1420.0,NAN,2
Fe71Mo1Y6B22,MMG,902.0,960.0,1517.0,NAN,2.5
Fe79P10C4B4Si3,MMG,740.0,774.0,1263.0,NAN,1
Fe65Mo14C15B6,MMG,789.0,843.0,1418.0,NAN,1.5
